USERNAME;CLASSROOM;Note1 Algebra;Note1 Fluid mechanics;Exam Electronic;Exam Thermodynamic;Note1 probability;Note2 probability;Quiz1 Spanish
Roma.Esparza@gmail.com;A;;12;;;;;13
Joanne.Hammond@gmail.com;A;;9;;;;;15
Juanita.Herring@gmail.com;A;;6;;;;;18
Niamh.Francis@gmail.com;A;;6;;;;;19
Romario.Ortiz@gmail.com;A;;5,5;;;;;16
Humairaa.Bird@gmail.com;A;;3,33;;;;;12
Danial.Rogers@gmail.com;A;;6;;;;;8
Melinda.Barrett@gmail.com;A;;12;;;;;14
Shabaz.Drew@gmail.com;A;;10;;;;;15
Madihah.William@gmail.com;B;7;;4;12;14;8;
Darlene.Robson@gmail.com;B;8;;3;16;8;14;
Tiya.Andrew@gmail.com;B;5;;4;4;19;20;
Yolanda.Hood@gmail.com;B;2,25;;5;11,33;8,5;13;
Kole.Frazier@gmail.com;B;4,5;;8;14;9,5;11;
Dollie.Kaur@gmail.com;B;12;;7;8;9,75;12;
Miya.Kenny@gmail.com;B;10;;2;9;20;15;
Killian.Hernandez@gmail.com;B;9,5;;1;9;15;14;
Roseanne.Bouvet@gmail.com;B;18;;1;9;14;12;
Rares.Schaefer@gmail.com;B;13;;9;11;9;9,5;
