USERNAME;YEAR;CLASSROOM;ACCOUNTBALANCE;PAYMENTSTATUS;PAYMENTDUE;MISSEDCLASSES
Roma.Esparza@gmail.com;2;A;1200000;false;8000;
Joanne.Hammond@gmail.com;2;A;38000;false;8000;
Juanita.Herring@gmail.com;2;A;34562;false;8000;
Niamh.Francis@gmail.com;2;A;27564;false;8000;
Romario.Ortiz@gmail.com;2;A;258647;false;8000;
Humairaa.Bird@gmail.com;2;A;648573;false;8000;
Danial.Rogers@gmail.com;2;A;215478;false;8000;
Melinda.Barrett@gmail.com;2;A;124001;false;8000;
Shabaz.Drew@gmail.com;2;A;84500;false;8000;
Madihah.William@gmail.com;1;B;72057;false;8000;
Darlene.Robson@gmail.com;1;B;28459;false;8000;
Tiya.Andrew@gmail.com;1;B;236547;false;8000;
Yolanda.Hood@gmail.com;1;B;65478;false;8000;
Kole.Frazier@gmail.com;1;B;1023001;false;8000;
Dollie.Kaur@gmail.com;1;B;15496;false;8000;
Miya.Kenny@gmail.com;1;B;57862;false;8000;
Killian.Hernandez@gmail.com;1;B;97542;false;8000;
Roseanne.Bouvet@gmail.com;1;B;32547;false;8000;
Rares.Schaefer@gmail.com;1;B;28475;false;8000;
